word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,source,source_url,license
absolute value,ˈæbsʌlˌut vˈælju,a number's distance from zero on a number line,绝对值,n.,,,k12_stem k12_math number grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""number""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
absorption,ʌbzˈɔrpʃʌn,the taking in of energy or matter,吸收,n.,,,k12_stem k12_science physical_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physical_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
acceleration,əkˌsɛləˈreɪʃən,the rate at which velocity changes,加速度,n.,,,k12_stem k12_science physical_science grade_k_12 ap_stem grade_ap ap_physics_1 science physics,,,,"{""aliases"": [], ""ap_courses"": [""ap_physics_1""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-physics-1"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 92, ""k12_rank"": 6008, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physics""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
acid,ˈæsʌd,a substance with pH less than 7 that can donate hydrogen ions,酸,n.,,,k12_stem k12_science physical_science grade_k_12 ap_stem grade_ap ap_chemistry science chemistry,,,,"{""aliases"": [], ""ap_courses"": [""ap_chemistry""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-chemistry"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""chemistry""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
acquired trait,ʌkwˈaɪɝd trˈeɪt,a trait gained during an organism's life,后天获得性状,n.,,,k12_stem k12_science life_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""life_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
acute angle,ʌkjˈut ˈæŋɡʌl,an angle measuring less than 90 degrees,锐角,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
acute triangle,ʌkjˈut trˈaɪˌæŋɡʌl,a triangle with three acute angles,锐角三角形,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
adaptation,ˌædæpˈteɪʃən,a trait that helps an organism survive or reproduce,适应；适应性特征,n.,,,k12_stem k12_science life_science grade_k_12 ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_courses"": [""ap_biology""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
addend,,a number being added,加数,n.,,,k12_stem k12_math arithmetic grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""arithmetic""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
additive inverse,ˈædʌtɪv ˌɪnvˈɝs,a number that sums with another number to make zero,加法逆元；相反数,n.,,,k12_stem k12_math number grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""number""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
